term,odds_ratio,confidence_interval_low,confidence_interval_high,p_value,statistical_significance,estimate_95ci
age_group_model15-19,0.858,0.599,1.229,0.4036,Not statistically significant,0.86 (95% CI 0.60-1.23)
age_group_model25-29,1.054,0.879,1.263,0.5733,Not statistically significant,1.05 (95% CI 0.88-1.26)
age_group_model30-34,1.147,0.959,1.371,0.1326,Not statistically significant,1.15 (95% CI 0.96-1.37)
age_group_model35-39,0.993,0.796,1.237,0.9469,Not statistically significant,0.99 (95% CI 0.80-1.24)
age_group_model40-44,1.094,0.774,1.546,0.6099,Not statistically significant,1.09 (95% CI 0.77-1.55)
age_group_model45-49,1.009,0.614,1.657,0.9732,Not statistically significant,1.01 (95% CI 0.61-1.66)
education_modelhigher,6.319,4.78,8.354,0,p<0.001,6.32 (95% CI 4.78-8.35)
education_modelprimary,1.823,1.423,2.336,0,p<0.001,1.82 (95% CI 1.42-2.34)
education_modelsecondary,2.992,2.419,3.7,0,p<0.001,2.99 (95% CI 2.42-3.70)
wealth_modelmiddle,2.871,2.117,3.892,0,p<0.001,2.87 (95% CI 2.12-3.89)
wealth_modelpoorer,1.603,1.164,2.207,0.0039,p<0.01,1.60 (95% CI 1.16-2.21)
wealth_modelricher,4.087,2.989,5.59,0,p<0.001,4.09 (95% CI 2.99-5.59)
wealth_modelrichest,6.307,4.465,8.907,0,p<0.001,6.31 (95% CI 4.46-8.91)
residence_modelurban,1.352,1.148,1.592,3e-4,p<0.001,1.35 (95% CI 1.15-1.59)
zone_modelnorth central,3.08,2.482,3.823,0,p<0.001,3.08 (95% CI 2.48-3.82)
zone_modelnorth east,1.766,1.383,2.256,0,p<0.001,1.77 (95% CI 1.38-2.26)
zone_modelsouth east,2.87,2.282,3.61,0,p<0.001,2.87 (95% CI 2.28-3.61)
zone_modelsouth south,2.106,1.652,2.685,0,p<0.001,2.11 (95% CI 1.65-2.68)
zone_modelsouth west,4.082,3.123,5.334,0,p<0.001,4.08 (95% CI 3.12-5.33)
