equity_dimension,equity_category,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Zone,north central,Four or more ANC contacts,1864,50.68,46.53,54.82,Report,50.7% (95% CI 46.5-54.8%)
Zone,north central,Eight or more ANC contacts,1864,11.46,9.62,13.29,Report,11.5% (95% CI 9.6-13.3%)
Zone,north central,Skilled birth attendance,1880,54.2,49.64,58.75,Report,54.2% (95% CI 49.6-58.8%)
Zone,north central,Health facility delivery,1868,49.53,45.02,54.05,Report,49.5% (95% CI 45.0-54.0%)
Zone,north central,Maternal PNC within 2 days,1880,53.41,49.59,57.22,Report,53.4% (95% CI 49.6-57.2%)
Zone,north central,Newborn PNC within 2 days,1880,53.67,50.06,57.29,Report,53.7% (95% CI 50.1-57.3%)
Zone,north central,Mother and newborn both received PNC within 2 days,1880,49.66,46.07,53.26,Report,49.7% (95% CI 46.1-53.3%)
Zone,north central,Complete continuum,1864,32.54,29.02,36.06,Report,32.5% (95% CI 29.0-36.1%)
Zone,north east,Four or more ANC contacts,2268,50.65,46.49,54.8,Report,50.6% (95% CI 46.5-54.8%)
Zone,north east,Eight or more ANC contacts,2268,3.98,2.84,5.12,Report,4.0% (95% CI 2.8-5.1%)
Zone,north east,Skilled birth attendance,2271,31.48,27.83,35.13,Report,31.5% (95% CI 27.8-35.1%)
Zone,north east,Health facility delivery,2269,36.17,32.48,39.85,Report,36.2% (95% CI 32.5-39.9%)
Zone,north east,Maternal PNC within 2 days,2271,36.34,32.87,39.8,Report,36.3% (95% CI 32.9-39.8%)
Zone,north east,Newborn PNC within 2 days,2271,35.25,31.62,38.88,Report,35.2% (95% CI 31.6-38.9%)
Zone,north east,Mother and newborn both received PNC within 2 days,2271,31.34,27.84,34.84,Report,31.3% (95% CI 27.8-34.8%)
Zone,north east,Complete continuum,2268,14.08,11.59,16.58,Report,14.1% (95% CI 11.6-16.6%)
Zone,north west,Four or more ANC contacts,3249,40.77,37.39,44.15,Report,40.8% (95% CI 37.4-44.1%)
Zone,north west,Eight or more ANC contacts,3249,5.49,4.1,6.89,Report,5.5% (95% CI 4.1-6.9%)
Zone,north west,Skilled birth attendance,3259,25.02,22.04,27.99,Report,25.0% (95% CI 22.0-28.0%)
Zone,north west,Health facility delivery,3256,21.5,18.79,24.22,Report,21.5% (95% CI 18.8-24.2%)
Zone,north west,Maternal PNC within 2 days,3259,24.89,22.33,27.46,Report,24.9% (95% CI 22.3-27.5%)
Zone,north west,Newborn PNC within 2 days,3259,23.89,21.44,26.34,Report,23.9% (95% CI 21.4-26.3%)
Zone,north west,Mother and newborn both received PNC within 2 days,3259,19.81,17.49,22.14,Report,19.8% (95% CI 17.5-22.1%)
Zone,north west,Complete continuum,3249,10.35,8.65,12.04,Report,10.3% (95% CI 8.6-12.0%)
Zone,south east,Four or more ANC contacts,1043,76.74,71.61,81.87,Report,76.7% (95% CI 71.6-81.9%)
Zone,south east,Eight or more ANC contacts,1043,36.64,32.23,41.04,Report,36.6% (95% CI 32.2-41.0%)
Zone,south east,Skilled birth attendance,1093,88.14,84.58,91.69,Report,88.1% (95% CI 84.6-91.7%)
Zone,south east,Health facility delivery,1075,87.89,85.13,90.65,Report,87.9% (95% CI 85.1-90.7%)
Zone,south east,Maternal PNC within 2 days,1093,63.09,59.43,66.76,Report,63.1% (95% CI 59.4-66.8%)
Zone,south east,Newborn PNC within 2 days,1093,61.74,57.91,65.57,Report,61.7% (95% CI 57.9-65.6%)
Zone,south east,Mother and newborn both received PNC within 2 days,1093,58.92,55.23,62.61,Report,58.9% (95% CI 55.2-62.6%)
Zone,south east,Complete continuum,1043,45.77,41.36,50.19,Report,45.8% (95% CI 41.4-50.2%)
Zone,south south,Four or more ANC contacts,912,75.54,71.9,79.18,Report,75.5% (95% CI 71.9-79.2%)
Zone,south south,Eight or more ANC contacts,912,43.61,39.14,48.08,Report,43.6% (95% CI 39.1-48.1%)
Zone,south south,Skilled birth attendance,1027,76.23,71.99,80.47,Report,76.2% (95% CI 72.0-80.5%)
Zone,south south,Health facility delivery,1013,66.49,61.82,71.16,Report,66.5% (95% CI 61.8-71.2%)
Zone,south south,Maternal PNC within 2 days,1027,66.79,62.61,70.97,Report,66.8% (95% CI 62.6-71.0%)
Zone,south south,Newborn PNC within 2 days,1027,66.87,63,70.74,Report,66.9% (95% CI 63.0-70.7%)
Zone,south south,Mother and newborn both received PNC within 2 days,1027,61.32,57.32,65.32,Report,61.3% (95% CI 57.3-65.3%)
Zone,south south,Complete continuum,912,46.16,41.91,50.4,Report,46.2% (95% CI 41.9-50.4%)
Zone,south west,Four or more ANC contacts,900,88.01,85.24,90.77,Report,88.0% (95% CI 85.2-90.8%)
Zone,south west,Eight or more ANC contacts,900,68.82,65.13,72.52,Report,68.8% (95% CI 65.1-72.5%)
