equity_dimension,equity_category,indicator,unweighted_n,public_weighted_percent,rank_high_to_low,gap_to_best_pp,reporting_status
Zone,north central,Four or more ANC contacts,1864,50.68,4,37.33,Report
Zone,north central,Eight or more ANC contacts,1864,11.46,4,57.36,Report
Zone,north central,Skilled birth attendance,1880,54.2,4,33.94,Report
Zone,north central,Health facility delivery,1868,49.53,4,38.36,Report
Zone,north central,Maternal PNC within 2 days,1880,53.41,4,25.1,Report
Zone,north central,Newborn PNC within 2 days,1880,53.67,4,25.46,Report
Zone,north central,Mother and newborn both received PNC within 2 days,1880,49.66,4,24.71,Report
Zone,north central,Complete continuum,1864,32.54,4,31.06,Report
Zone,north east,Four or more ANC contacts,2268,50.65,5,37.36,Report
Zone,north east,Eight or more ANC contacts,2268,3.98,6,64.84,Report
Zone,north east,Skilled birth attendance,2271,31.48,5,56.66,Report
Zone,north east,Health facility delivery,2269,36.17,5,51.72,Report
Zone,north east,Maternal PNC within 2 days,2271,36.34,5,42.17,Report
Zone,north east,Newborn PNC within 2 days,2271,35.25,5,43.88,Report
Zone,north east,Mother and newborn both received PNC within 2 days,2271,31.34,5,43.03,Report
Zone,north east,Complete continuum,2268,14.08,5,49.52,Report
Zone,north west,Four or more ANC contacts,3249,40.77,6,47.24,Report
Zone,north west,Eight or more ANC contacts,3249,5.49,5,63.33,Report
Zone,north west,Skilled birth attendance,3259,25.02,6,63.12,Report
Zone,north west,Health facility delivery,3256,21.5,6,66.39,Report
Zone,north west,Maternal PNC within 2 days,3259,24.89,6,53.62,Report
Zone,north west,Newborn PNC within 2 days,3259,23.89,6,55.24,Report
Zone,north west,Mother and newborn both received PNC within 2 days,3259,19.81,6,54.56,Report
Zone,north west,Complete continuum,3249,10.35,6,53.25,Report
Zone,south east,Four or more ANC contacts,1043,76.74,2,11.27,Report
Zone,south east,Eight or more ANC contacts,1043,36.64,3,32.18,Report
Zone,south east,Skilled birth attendance,1093,88.14,1,0,Report
Zone,south east,Health facility delivery,1075,87.89,1,0,Report
Zone,south east,Maternal PNC within 2 days,1093,63.09,3,15.42,Report
Zone,south east,Newborn PNC within 2 days,1093,61.74,3,17.39,Report
Zone,south east,Mother and newborn both received PNC within 2 days,1093,58.92,3,15.45,Report
Zone,south east,Complete continuum,1043,45.77,3,17.83,Report
Zone,south south,Four or more ANC contacts,912,75.54,3,12.47,Report
Zone,south south,Eight or more ANC contacts,912,43.61,2,25.21,Report
Zone,south south,Skilled birth attendance,1027,76.23,3,11.91,Report
Zone,south south,Health facility delivery,1013,66.49,3,21.4,Report
Zone,south south,Maternal PNC within 2 days,1027,66.79,2,11.72,Report
Zone,south south,Newborn PNC within 2 days,1027,66.87,2,12.26,Report
Zone,south south,Mother and newborn both received PNC within 2 days,1027,61.32,2,13.05,Report
Zone,south south,Complete continuum,912,46.16,2,17.44,Report
Zone,south west,Four or more ANC contacts,900,88.01,1,0,Report
Zone,south west,Eight or more ANC contacts,900,68.82,1,0,Report
Zone,south west,Skilled birth attendance,992,84.71,2,3.43,Report
Zone,south west,Health facility delivery,979,83.35,2,4.54,Report
Zone,south west,Maternal PNC within 2 days,992,78.51,1,0,Report
Zone,south west,Newborn PNC within 2 days,992,79.13,1,0,Report
Zone,south west,Mother and newborn both received PNC within 2 days,992,74.37,1,0,Report
Zone,south west,Complete continuum,900,63.6,1,0,Report
Residence,rural,Four or more ANC contacts,6428,41.83,2,31.71,Report
Residence,rural,Eight or more ANC contacts,6428,8.26,2,22.87,Report
Residence,rural,Skilled birth attendance,6510,30.03,2,39.64,Report
Residence,rural,Health facility delivery,6478,28.74,2,37.42,Report
Residence,rural,Maternal PNC within 2 days,6510,30.33,2,33.01,Report
Residence,rural,Newborn PNC within 2 days,6510,30.18,2,31.83,Report
Residence,rural,Mother and newborn both received PNC within 2 days,6510,26.45,2,30.79,Report
Residence,rural,Complete continuum,6428,13.34,2,30,Report
Residence,urban,Four or more ANC contacts,3808,73.54,1,0,Report
Residence,urban,Eight or more ANC contacts,3808,31.13,1,0,Report
Residence,urban,Skilled birth attendance,4012,69.67,1,0,Report
Residence,urban,Health facility delivery,3982,66.16,1,0,Report
Residence,urban,Maternal PNC within 2 days,4012,63.34,1,0,Report
Residence,urban,Newborn PNC within 2 days,4012,62.01,1,0,Report
Residence,urban,Mother and newborn both received PNC within 2 days,4012,57.24,1,0,Report
Residence,urban,Complete continuum,3808,43.34,1,0,Report
Wealth quintile,middle,Four or more ANC contacts,1954,54.74,3,35.83,Report
Wealth quintile,middle,Eight or more ANC contacts,1954,12.62,3,39.75,Report
Wealth quintile,middle,Skilled birth attendance,2002,45.81,3,45.71,Report
Wealth quintile,middle,Health facility delivery,1989,41.02,3,48.5,Report
Wealth quintile,middle,Maternal PNC within 2 days,2002,43.02,3,38.56,Report
Wealth quintile,middle,Newborn PNC within 2 days,2002,42.84,3,36.72,Report
Wealth quintile,middle,Mother and newborn both received PNC within 2 days,2002,38.86,3,36.21,Report
Wealth quintile,middle,Complete continuum,1954,22.61,3,43.18,Report
Wealth quintile,poorer,Four or more ANC contacts,2117,40.92,4,49.65,Report
