indicator,weighted_percent,confidence_interval_low_percent,confidence_interval_high_percent,estimate_95ci
Any antenatal care,73.65,71.6,75.71,73.7% (95% CI 71.6-75.7%)
ANC from skilled provider,62.48,60.32,64.64,62.5% (95% CI 60.3-64.6%)
First ANC within first trimester,25.02,23.74,26.31,25.0% (95% CI 23.7-26.3%)
Four or more ANC contacts,53.65,51.77,55.54,53.6% (95% CI 51.8-55.5%)
Eight or more ANC contacts,16.78,15.69,17.87,16.8% (95% CI 15.7-17.9%)
Complete ANC content,59.64,57.75,61.53,59.6% (95% CI 57.8-61.5%)
Health facility delivery,42.93,41.09,44.77,42.9% (95% CI 41.1-44.8%)
Skilled birth attendance,45.09,43.18,47,45.1% (95% CI 43.2-47.0%)
Maternal PNC within 2 days,42.87,41.21,44.53,42.9% (95% CI 41.2-44.5%)
Newborn PNC within 2 days,42.27,40.6,43.93,42.3% (95% CI 40.6-43.9%)
Mother and newborn both received PNC within 2 days,38.14,36.52,39.76,38.1% (95% CI 36.5-39.8%)
Complete ANC4-skilled birth-paired PNC continuum,24.52,23.18,25.85,24.5% (95% CI 23.2-25.9%)
Complete ANC8-skilled birth-paired PNC continuum,10.98,10.17,11.78,11.0% (95% CI 10.2-11.8%)
Complete ANC4-facility delivery-paired PNC continuum,24.56,23.24,25.87,24.6% (95% CI 23.2-25.9%)
