outcome_definition,term,adjusted_odds_ratio,confidence_interval_low,confidence_interval_high,p_value,statistically_significant,association_direction,estimate_95ci
Primary: ANC4 + skilled birth + paired PNC,age_group_model15-19,0.866,0.603,1.244,0.4352,No,Negative,0.87 (95% CI 0.60-1.24)
Primary: ANC4 + skilled birth + paired PNC,age_group_model25-29,1.053,0.877,1.264,0.5803,No,Positive,1.05 (95% CI 0.88-1.26)
Primary: ANC4 + skilled birth + paired PNC,age_group_model30-34,1.163,0.973,1.392,0.0978,No,Positive,1.16 (95% CI 0.97-1.39)
Primary: ANC4 + skilled birth + paired PNC,age_group_model35-39,1.004,0.804,1.253,0.9753,No,Positive,1.00 (95% CI 0.80-1.25)
Primary: ANC4 + skilled birth + paired PNC,age_group_model40-44,1.097,0.774,1.554,0.6027,No,Positive,1.10 (95% CI 0.77-1.55)
Primary: ANC4 + skilled birth + paired PNC,age_group_model45-49,1.007,0.612,1.656,0.9791,No,Positive,1.01 (95% CI 0.61-1.66)
Primary: ANC4 + skilled birth + paired PNC,education_modelhigher,6.177,4.664,8.182,0,Yes,Positive,6.18 (95% CI 4.66-8.18)
Primary: ANC4 + skilled birth + paired PNC,education_modelprimary,1.816,1.416,2.33,0,Yes,Positive,1.82 (95% CI 1.42-2.33)
Primary: ANC4 + skilled birth + paired PNC,education_modelsecondary,2.978,2.406,3.687,0,Yes,Positive,2.98 (95% CI 2.41-3.69)
Primary: ANC4 + skilled birth + paired PNC,wealth_modelmiddle,2.908,2.144,3.944,0,Yes,Positive,2.91 (95% CI 2.14-3.94)
Primary: ANC4 + skilled birth + paired PNC,wealth_modelpoorer,1.584,1.149,2.183,0.005,Yes,Positive,1.58 (95% CI 1.15-2.18)
Primary: ANC4 + skilled birth + paired PNC,wealth_modelricher,4.128,3.016,5.65,0,Yes,Positive,4.13 (95% CI 3.02-5.65)
Primary: ANC4 + skilled birth + paired PNC,wealth_modelrichest,6.471,4.574,9.156,0,Yes,Positive,6.47 (95% CI 4.57-9.16)
Primary: ANC4 + skilled birth + paired PNC,residence_modelurban,1.343,1.14,1.583,4e-4,Yes,Positive,1.34 (95% CI 1.14-1.58)
Primary: ANC4 + skilled birth + paired PNC,zone_modelnorth central,3.111,2.503,3.865,0,Yes,Positive,3.11 (95% CI 2.50-3.87)
Primary: ANC4 + skilled birth + paired PNC,zone_modelnorth east,1.781,1.395,2.274,0,Yes,Positive,1.78 (95% CI 1.40-2.27)
Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth east,2.831,2.25,3.563,0,Yes,Positive,2.83 (95% CI 2.25-3.56)
Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth south,2.146,1.681,2.74,0,Yes,Positive,2.15 (95% CI 1.68-2.74)
Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth west,4.173,3.193,5.454,0,Yes,Positive,4.17 (95% CI 3.19-5.45)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model15-19,0.627,0.317,1.237,0.1776,No,Negative,0.63 (95% CI 0.32-1.24)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model25-29,1.107,0.866,1.413,0.417,No,Positive,1.11 (95% CI 0.87-1.41)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model30-34,1.136,0.885,1.458,0.3167,No,Positive,1.14 (95% CI 0.88-1.46)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model35-39,1.009,0.753,1.351,0.9537,No,Positive,1.01 (95% CI 0.75-1.35)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model40-44,0.988,0.66,1.479,0.9515,No,Negative,0.99 (95% CI 0.66-1.48)
Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model45-49,0.732,0.359,1.493,0.3905,No,Negative,0.73 (95% CI 0.36-1.49)
Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelhigher,5.19,3.3,8.164,0,Yes,Positive,5.19 (95% CI 3.30-8.16)
Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelprimary,1.808,1.17,2.793,0.0077,Yes,Positive,1.81 (95% CI 1.17-2.79)
Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelsecondary,2.877,1.913,4.328,0,Yes,Positive,2.88 (95% CI 1.91-4.33)
Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelmiddle,2.278,1.323,3.922,0.003,Yes,Positive,2.28 (95% CI 1.32-3.92)
Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelpoorer,1.676,0.886,3.17,0.1124,No,Positive,1.68 (95% CI 0.89-3.17)
Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelricher,3.291,1.877,5.77,0,Yes,Positive,3.29 (95% CI 1.88-5.77)
Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelrichest,5.532,3.127,9.788,0,Yes,Positive,5.53 (95% CI 3.13-9.79)
Sensitivity 1: ANC8 + skilled birth + paired PNC,residence_modelurban,1.206,0.979,1.487,0.0785,No,Positive,1.21 (95% CI 0.98-1.49)
