state,zone,indicator,unweighted_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Abia,south east,Four or more ANC contacts,145,83.97,77.37,90.58,Report,84.0% (95% CI 77.4-90.6%)
Abia,south east,Eight or more ANC contacts,145,48.97,36.94,60.99,Report,49.0% (95% CI 36.9-61.0%)
Abia,south east,Skilled birth attendance,154,94.8,91.56,98.04,Report,94.8% (95% CI 91.6-98.0%)
Abia,south east,Health facility delivery,152,87.26,81.74,92.77,Report,87.3% (95% CI 81.7-92.8%)
Abia,south east,Maternal PNC within 2 days,154,66.4,60.57,72.23,Report,66.4% (95% CI 60.6-72.2%)
Abia,south east,Newborn PNC within 2 days,154,65.9,58.24,73.56,Report,65.9% (95% CI 58.2-73.6%)
Abia,south east,Mother and newborn both received PNC within 2 days,154,60.69,53.96,67.41,Report,60.7% (95% CI 54.0-67.4%)
Abia,south east,Complete continuum,145,52.44,46.2,58.68,Report,52.4% (95% CI 46.2-58.7%)
Adamawa,north east,Four or more ANC contacts,350,56.55,47.09,66.01,Report,56.5% (95% CI 47.1-66.0%)
Adamawa,north east,Eight or more ANC contacts,350,2.49,0.62,4.35,Report,2.5% (95% CI 0.6-4.3%)
Adamawa,north east,Skilled birth attendance,351,23.62,14.78,32.45,Report,23.6% (95% CI 14.8-32.5%)
Adamawa,north east,Health facility delivery,351,40.38,30.19,50.58,Report,40.4% (95% CI 30.2-50.6%)
Adamawa,north east,Maternal PNC within 2 days,351,50.85,43.07,58.64,Report,50.9% (95% CI 43.1-58.6%)
Adamawa,north east,Newborn PNC within 2 days,351,58.91,52.28,65.54,Report,58.9% (95% CI 52.3-65.5%)
Adamawa,north east,Mother and newborn both received PNC within 2 days,351,46.31,38.4,54.22,Report,46.3% (95% CI 38.4-54.2%)
Adamawa,north east,Complete continuum,350,11.75,5.67,17.83,Report,11.8% (95% CI 5.7-17.8%)
Akwa Ibom,south south,Four or more ANC contacts,148,66.41,58.52,74.3,Report,66.4% (95% CI 58.5-74.3%)
Akwa Ibom,south south,Eight or more ANC contacts,148,18.97,10.94,27.01,Report,19.0% (95% CI 10.9-27.0%)
Akwa Ibom,south south,Skilled birth attendance,149,51.23,39.56,62.89,Report,51.2% (95% CI 39.6-62.9%)
Akwa Ibom,south south,Health facility delivery,136,42.52,33.03,52.01,Report,42.5% (95% CI 33.0-52.0%)
Akwa Ibom,south south,Maternal PNC within 2 days,149,60.42,52.05,68.78,Report,60.4% (95% CI 52.0-68.8%)
Akwa Ibom,south south,Newborn PNC within 2 days,149,69.17,62.28,76.06,Report,69.2% (95% CI 62.3-76.1%)
Akwa Ibom,south south,Mother and newborn both received PNC within 2 days,149,55.1,46.6,63.61,Report,55.1% (95% CI 46.6-63.6%)
Akwa Ibom,south south,Complete continuum,148,29.97,21.68,38.26,Report,30.0% (95% CI 21.7-38.3%)
Anambra,south east,Four or more ANC contacts,213,84.86,77.62,92.1,Report,84.9% (95% CI 77.6-92.1%)
Anambra,south east,Eight or more ANC contacts,213,54.92,44.63,65.21,Report,54.9% (95% CI 44.6-65.2%)
Anambra,south east,Skilled birth attendance,213,93.04,88.82,97.26,Report,93.0% (95% CI 88.8-97.3%)
Anambra,south east,Health facility delivery,200,88.25,83.28,93.22,Report,88.2% (95% CI 83.3-93.2%)
Anambra,south east,Maternal PNC within 2 days,213,73.17,66.9,79.43,Report,73.2% (95% CI 66.9-79.4%)
Anambra,south east,Newborn PNC within 2 days,213,70.87,64.45,77.28,Report,70.9% (95% CI 64.5-77.3%)
Anambra,south east,Mother and newborn both received PNC within 2 days,213,69.45,62.96,75.93,Report,69.5% (95% CI 63.0-75.9%)
Anambra,south east,Complete continuum,213,62.67,53.87,71.48,Report,62.7% (95% CI 53.9-71.5%)
Bauchi,north east,Four or more ANC contacts,454,46.83,37.01,56.64,Report,46.8% (95% CI 37.0-56.6%)
Bauchi,north east,Eight or more ANC contacts,454,5.2,2.76,7.64,Report,5.2% (95% CI 2.8-7.6%)
Bauchi,north east,Skilled birth attendance,456,27.65,20.27,35.02,Report,27.6% (95% CI 20.3-35.0%)
Bauchi,north east,Health facility delivery,456,30.49,24.21,36.76,Report,30.5% (95% CI 24.2-36.8%)
Bauchi,north east,Maternal PNC within 2 days,456,23.95,17.42,30.47,Report,23.9% (95% CI 17.4-30.5%)
