state,zone,indicator,state_rank,public_weighted_percent,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status
Lagos,south west,Complete continuum,1,72.69,24.52,48.17,0,Report
Osun,south west,Complete continuum,2,64.7,24.52,40.18,7.99,Report
Federal Capital Territory,north central,Complete continuum,3,62.97,24.52,38.45,9.72,Report
Edo,south south,Complete continuum,4,62.71,24.52,38.19,9.98,Report
Anambra,south east,Complete continuum,5,62.67,24.52,38.15,10.02,Report
Oyo,south west,Complete continuum,6,61.06,24.52,36.54,11.63,Report
Ogun,south west,Complete continuum,7,60.1,24.52,35.58,12.59,Report
Delta,south south,Complete continuum,8,59.35,24.52,34.83,13.34,Report
Ekiti,south west,Complete continuum,9,55.75,24.52,31.23,16.94,Report
Abia,south east,Complete continuum,10,52.44,24.52,27.92,20.25,Report
Ondo,south west,Complete continuum,11,52.07,24.52,27.55,20.62,Report
Imo,south east,Complete continuum,12,51.04,24.52,26.52,21.65,Report
Enugu,south east,Complete continuum,13,48.97,24.52,24.45,23.72,Report
Nasarawa,north central,Complete continuum,14,44.47,24.52,19.95,28.22,Report
Rivers,south south,Complete continuum,15,44.35,24.52,19.83,28.34,Report
Cross River,south south,Complete continuum,16,44.2,24.52,19.68,28.49,Report
Kogi,north central,Complete continuum,17,37.44,24.52,12.92,35.25,Report
Kwara,north central,Complete continuum,18,36.08,24.52,11.56,36.61,Report
Benue,north central,Complete continuum,19,34.15,24.52,9.63,38.54,Report
Plateau,north central,Complete continuum,20,31.29,24.52,6.77,41.4,Report
Akwa Ibom,south south,Complete continuum,21,29.97,24.52,5.45,42.72,Report
Bayelsa,south south,Complete continuum,22,29.13,24.52,4.61,43.56,Report
Ebonyi,south east,Complete continuum,23,28.99,24.52,4.47,43.7,Report
Borno,north east,Complete continuum,24,19.37,24.52,-5.15,53.32,Report
Gombe,north east,Complete continuum,25,17.73,24.52,-6.79,54.96,Report
Kaduna,north west,Complete continuum,26,16.82,24.52,-7.7,55.87,Report
Yobe,north east,Complete continuum,27,15.68,24.52,-8.84,57.01,Report
Niger,north central,Complete continuum,28,15.08,24.52,-9.44,57.61,Report
Kano,north west,Complete continuum,29,13.96,24.52,-10.56,58.73,Report
Taraba,north east,Complete continuum,30,13.77,24.52,-10.75,58.92,Report
Adamawa,north east,Complete continuum,31,11.75,24.52,-12.77,60.94,Report
Bauchi,north east,Complete continuum,32,10.08,24.52,-14.44,62.61,Report
Jigawa,north west,Complete continuum,33,8.84,24.52,-15.68,63.85,Report
Zamfara,north west,Complete continuum,34,6.4,24.52,-18.12,66.29,Report
Sokoto,north west,Complete continuum,35,6.17,24.52,-18.35,66.52,Report
Katsina,north west,Complete continuum,36,5.78,24.52,-18.74,66.91,Report
Kebbi,north west,Complete continuum,37,3.28,24.52,-21.24,69.41,Report
Lagos,south west,Eight or more ANC contacts,1,87.57,16.78,70.79,0,Report
Ogun,south west,Eight or more ANC contacts,2,82.49,16.78,65.71,5.08,Report
Osun,south west,Eight or more ANC contacts,3,72.19,16.78,55.41,15.38,Report
Delta,south south,Eight or more ANC contacts,4,57.85,16.78,41.07,29.72,Report
Anambra,south east,Eight or more ANC contacts,5,54.92,16.78,38.14,32.65,Report
