model,predictor,term,log_odds,standard_error,odds_ratio,confidence_interval_low,confidence_interval_high,p_value,statistical_significance,estimate_95ci
Adjusted,Multivariable model,age_group_model15-19,-0.1532,0.1834,0.858,0.599,1.229,0.4036,Not statistically significant,0.86 (95% CI 0.60-1.23)
Adjusted,Multivariable model,age_group_model25-29,0.0521,0.0926,1.054,0.879,1.263,0.5733,Not statistically significant,1.05 (95% CI 0.88-1.26)
Adjusted,Multivariable model,age_group_model30-34,0.137,0.091,1.147,0.959,1.371,0.1326,Not statistically significant,1.15 (95% CI 0.96-1.37)
Adjusted,Multivariable model,age_group_model35-39,-0.0075,0.1122,0.993,0.796,1.237,0.9469,Not statistically significant,0.99 (95% CI 0.80-1.24)
Adjusted,Multivariable model,age_group_model40-44,0.0899,0.1762,1.094,0.774,1.546,0.6099,Not statistically significant,1.09 (95% CI 0.77-1.55)
Adjusted,Multivariable model,age_group_model45-49,0.0085,0.253,1.009,0.614,1.657,0.9732,Not statistically significant,1.01 (95% CI 0.61-1.66)
Adjusted,Multivariable model,education_modelhigher,1.8436,0.1423,6.319,4.78,8.354,0,p<0.001,6.32 (95% CI 4.78-8.35)
Adjusted,Multivariable model,education_modelprimary,0.6007,0.1263,1.823,1.423,2.336,0,p<0.001,1.82 (95% CI 1.42-2.34)
Adjusted,Multivariable model,education_modelsecondary,1.0958,0.1083,2.992,2.419,3.7,0,p<0.001,2.99 (95% CI 2.42-3.70)
Adjusted,Multivariable model,wealth_modelmiddle,1.0545,0.1552,2.871,2.117,3.892,0,p<0.001,2.87 (95% CI 2.12-3.89)
Adjusted,Multivariable model,wealth_modelpoorer,0.4717,0.1631,1.603,1.164,2.207,0.0039,p<0.01,1.60 (95% CI 1.16-2.21)
Adjusted,Multivariable model,wealth_modelricher,1.4079,0.1596,4.087,2.989,5.59,0,p<0.001,4.09 (95% CI 2.99-5.59)
Adjusted,Multivariable model,wealth_modelrichest,1.8416,0.176,6.307,4.465,8.907,0,p<0.001,6.31 (95% CI 4.46-8.91)
Adjusted,Multivariable model,residence_modelurban,0.3016,0.0833,1.352,1.148,1.592,3e-4,p<0.001,1.35 (95% CI 1.15-1.59)
Adjusted,Multivariable model,zone_modelnorth central,1.125,0.1101,3.08,2.482,3.823,0,p<0.001,3.08 (95% CI 2.48-3.82)
Adjusted,Multivariable model,zone_modelnorth east,0.5689,0.1247,1.766,1.383,2.256,0,p<0.001,1.77 (95% CI 1.38-2.26)
Adjusted,Multivariable model,zone_modelsouth east,1.0544,0.1169,2.87,2.282,3.61,0,p<0.001,2.87 (95% CI 2.28-3.61)
Adjusted,Multivariable model,zone_modelsouth south,0.7448,0.1238,2.106,1.652,2.685,0,p<0.001,2.11 (95% CI 1.65-2.68)
Adjusted,Multivariable model,zone_modelsouth west,1.4065,0.1364,4.082,3.123,5.334,0,p<0.001,4.08 (95% CI 3.12-5.33)
