indicator,value,unweighted_n,percent
Any ANC,0,2777,26.392320851549133
Any ANC,1,7745,73.60767914845087
Skilled ANC,0,3824,36.34290058924159
Skilled ANC,1,6698,63.65709941075841
Early ANC,0,5694,54.11518722676297
Early ANC,1,2036,19.34993347272382
Early ANC,NA,2792,26.534879300513207
ANC 4+,0,4711,44.77285687131724
ANC 4+,1,5525,52.509028701767726
ANC 4+,NA,286,2.7181144269150352
ANC 8+,0,8445,80.26040676677437
ANC 8+,1,1791,17.021478806310586
ANC 8+,NA,286,2.7181144269150352
Complete ANC content,0,3036,28.853830070328833
Complete ANC content,1,4709,44.75384907812203
Complete ANC content,NA,2777,26.392320851549133
