dimension,category,unweighted_n,percent
Age group,15-19,666,6.329595134004943
Age group,20-24,2420,22.999429766204145
Age group,25-29,2813,26.734461129062915
Age group,30-34,2365,22.476715453335867
Age group,35-39,1463,13.904200722296142
Age group,40-44,649,6.1680288918456565
Age group,45-49,146,1.3875689032503327
Education,higher,1143,10.862953811062535
Education,no education,4534,43.09066717354115
Education,primary,1172,11.138566812393082
Education,secondary,3673,34.90781220300323
Wealth quintile,middle,2002,19.026800988405245
Wealth quintile,poorer,2133,20.271811442691504
Wealth quintile,poorest,2766,26.28777798897548
Wealth quintile,richer,1962,18.646645124501045
Wealth quintile,richest,1659,15.766964455426724
Zone,north central,1880,17.867325603497434
Zone,north east,2271,21.583349173160997
Zone,north west,3259,30.973199011594755
Zone,south east,1093,10.387758981182285
Zone,south south,1027,9.760501805740354
Zone,south west,992,9.427865424824178
Residence,rural,6510,61.870366850408665
Residence,urban,4012,38.12963314959133
