equity_dimension,equity_category,unweighted_n,unweighted_positive_n,public_weighted_percent,public_ci_low,public_ci_high,reporting_status,public_estimate
Zone,north central,1864,642,32.54,29.02,36.06,Report,32.5% (95% CI 29.0-36.1%)
Zone,north east,2268,309,14.08,11.59,16.58,Report,14.1% (95% CI 11.6-16.6%)
Zone,north west,3249,307,10.35,8.65,12.04,Report,10.3% (95% CI 8.6-12.0%)
Zone,south east,1043,492,45.77,41.36,50.19,Report,45.8% (95% CI 41.4-50.2%)
Zone,south south,912,397,46.16,41.91,50.4,Report,46.2% (95% CI 41.9-50.4%)
Zone,south west,900,555,63.6,59.23,67.97,Report,63.6% (95% CI 59.2-68.0%)
Residence,rural,6428,987,13.34,12.06,14.62,Report,13.3% (95% CI 12.1-14.6%)
Residence,urban,3808,1715,43.34,40.76,45.92,Report,43.3% (95% CI 40.8-45.9%)
Wealth quintile,middle,1954,505,22.61,20.2,25.02,Report,22.6% (95% CI 20.2-25.0%)
Wealth quintile,poorer,2117,237,9.56,7.94,11.18,Report,9.6% (95% CI 7.9-11.2%)
Wealth quintile,poorest,2755,141,4.63,3.45,5.82,Report,4.6% (95% CI 3.4-5.8%)
Wealth quintile,richer,1868,787,40.49,37.77,43.21,Report,40.5% (95% CI 37.8-43.2%)
Wealth quintile,richest,1542,1032,65.79,62.79,68.79,Report,65.8% (95% CI 62.8-68.8%)
Education,higher,1061,754,69.66,66.32,73.01,Report,69.7% (95% CI 66.3-73.0%)
Education,no education,4513,293,6.45,5.37,7.53,Report,6.4% (95% CI 5.4-7.5%)
Education,primary,1142,231,18.41,15.82,20.99,Report,18.4% (95% CI 15.8-21.0%)
Education,secondary,3520,1424,39.36,37.22,41.51,Report,39.4% (95% CI 37.2-41.5%)
Age group,15-19,654,86,12.41,9.12,15.69,Report,12.4% (95% CI 9.1-15.7%)
Age group,20-24,2365,528,20.39,18.33,22.45,Report,20.4% (95% CI 18.3-22.4%)
Age group,25-29,2745,785,26.71,24.54,28.88,Report,26.7% (95% CI 24.5-28.9%)
Age group,30-34,2287,717,29.92,27.52,32.32,Report,29.9% (95% CI 27.5-32.3%)
Age group,35-39,1410,405,27.37,24.59,30.14,Report,27.4% (95% CI 24.6-30.1%)
Age group,40-44,632,153,21.61,17.67,25.56,Report,21.6% (95% CI 17.7-25.6%)
Age group,45-49,143,28,14.74,8.87,20.61,Report,14.7% (95% CI 8.9-20.6%)
