state_rank,state,zone,unweighted_n,unweighted_positive_n,public_weighted_percent,public_ci_low,public_ci_high,national_percent,difference_from_national_pp,gap_from_best_pp,reporting_status,public_estimate
1,Lagos,south west,175,127,72.69,61.92,83.46,24.52,48.17,0,Report,72.7% (95% CI 61.9-83.5%)
2,Osun,south west,148,98,64.7,57.76,71.63,24.52,40.18,7.99,Report,64.7% (95% CI 57.8-71.6%)
3,Federal Capital Territory,north central,161,100,62.97,54.26,71.68,24.52,38.45,9.72,Report,63.0% (95% CI 54.3-71.7%)
4,Edo,south south,119,76,62.71,53.76,71.66,24.52,38.19,9.98,Report,62.7% (95% CI 53.8-71.7%)
5,Anambra,south east,213,131,62.67,53.87,71.48,24.52,38.15,10.02,Report,62.7% (95% CI 53.9-71.5%)
6,Oyo,south west,197,123,61.06,51.55,70.57,24.52,36.54,11.63,Report,61.1% (95% CI 51.5-70.6%)
7,Ogun,south west,168,101,60.1,51.06,69.14,24.52,35.58,12.59,Report,60.1% (95% CI 51.1-69.1%)
8,Delta,south south,154,85,59.35,50.09,68.62,24.52,34.83,13.34,Report,59.4% (95% CI 50.1-68.6%)
9,Ekiti,south west,87,47,55.75,47.28,64.22,24.52,31.23,16.94,Report,55.8% (95% CI 47.3-64.2%)
10,Abia,south east,145,77,52.44,46.2,58.68,24.52,27.92,20.25,Report,52.4% (95% CI 46.2-58.7%)
11,Ondo,south west,125,59,52.07,40.76,63.39,24.52,27.55,20.62,Report,52.1% (95% CI 40.8-63.4%)
12,Imo,south east,230,117,51.04,42.49,59.58,24.52,26.52,21.65,Report,51.0% (95% CI 42.5-59.6%)
13,Enugu,south east,123,64,48.97,37.62,60.32,24.52,24.45,23.72,Report,49.0% (95% CI 37.6-60.3%)
14,Nasarawa,north central,294,128,44.47,37.39,51.55,24.52,19.95,28.22,Report,44.5% (95% CI 37.4-51.5%)
15,Rivers,south south,196,88,44.35,35.34,53.35,24.52,19.83,28.34,Report,44.4% (95% CI 35.3-53.4%)
16,Cross River,south south,148,65,44.2,34.76,53.64,24.52,19.68,28.49,Report,44.2% (95% CI 34.8-53.6%)
17,Kogi,north central,269,103,37.44,28.43,46.46,24.52,12.92,35.25,Report,37.4% (95% CI 28.4-46.5%)
18,Kwara,north central,226,80,36.08,23.01,49.16,24.52,11.56,36.61,Report,36.1% (95% CI 23.0-49.2%)
19,Benue,north central,218,67,34.15,25.35,42.94,24.52,9.63,38.54,Report,34.1% (95% CI 25.4-42.9%)
20,Plateau,north central,328,100,31.29,23.07,39.5,24.52,6.77,41.4,Report,31.3% (95% CI 23.1-39.5%)
21,Akwa Ibom,south south,148,46,29.97,21.68,38.26,24.52,5.45,42.72,Report,30.0% (95% CI 21.7-38.3%)
22,Bayelsa,south south,147,37,29.13,17.59,40.66,24.52,4.61,43.56,Report,29.1% (95% CI 17.6-40.7%)
23,Ebonyi,south east,332,103,28.99,23.87,34.1,24.52,4.47,43.7,Report,29.0% (95% CI 23.9-34.1%)
24,Borno,north east,347,66,19.37,14.5,24.24,24.52,-5.15,53.32,Report,19.4% (95% CI 14.5-24.2%)
25,Gombe,north east,391,66,17.73,11.45,24,24.52,-6.79,54.96,Report,17.7% (95% CI 11.4-24.0%)
26,Kaduna,north west,504,89,16.82,11.19,22.45,24.52,-7.7,55.87,Report,16.8% (95% CI 11.2-22.4%)
27,Yobe,north east,458,70,15.68,8.78,22.58,24.52,-8.84,57.01,Report,15.7% (95% CI 8.8-22.6%)
28,Niger,north central,368,64,15.08,8.62,21.54,24.52,-9.44,57.61,Report,15.1% (95% CI 8.6-21.5%)
29,Kano,north west,566,79,13.96,10.14,17.78,24.52,-10.56,58.73,Report,14.0% (95% CI 10.1-17.8%)
30,Taraba,north east,268,31,13.77,7.2,20.33,24.52,-10.75,58.92,Report,13.8% (95% CI 7.2-20.3%)
31,Adamawa,north east,350,33,11.75,5.67,17.83,24.52,-12.77,60.94,Report,11.8% (95% CI 5.7-17.8%)
32,Bauchi,north east,454,43,10.08,5.26,14.9,24.52,-14.44,62.61,Report,10.1% (95% CI 5.3-14.9%)
33,Jigawa,north west,523,44,8.84,5.3,12.38,24.52,-15.68,63.85,Report,8.8% (95% CI 5.3-12.4%)
34,Zamfara,north west,292,20,6.4,2.42,10.37,24.52,-18.12,66.29,Report,6.4% (95% CI 2.4-10.4%)
35,Sokoto,north west,441,28,6.17,2.16,10.18,24.52,-18.35,66.52,Report,6.2% (95% CI 2.2-10.2%)
36,Katsina,north west,419,24,5.78,3.32,8.25,24.52,-18.74,66.91,Report,5.8% (95% CI 3.3-8.2%)
37,Kebbi,north west,504,23,3.28,1.68,4.88,24.52,-21.24,69.41,Report,3.3% (95% CI 1.7-4.9%)
