variable,variable_label,value_labels,r_class,missing_n,missing_percent,unique_n
v025,type of place of residence,urban = 1 | rural = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v026,na - de facto place of residence,"capital, large city = 0 | small city = 1 | town = 2 | countryside = 3","haven_labelled, vctrs_vctr, double",17986,100,0
v102,type of place of residence,urban = 1 | rural = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v103,na - childhood place of residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4","haven_labelled, vctrs_vctr, double",17986,100,0
v104,years lived in place of residence,always = 95 | visitor = 96 | inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,46
v105,type of place of previous residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4","haven_labelled, vctrs_vctr, double",10260,57.04436784165462,3
v105a,zone of previous residence,north central = 1 | north east = 2 | north west = 3 | south east = 4 | south south = 5 | south west = 6 | abroad = 96,"haven_labelled, vctrs_vctr, double",10260,57.04436784165462,7
v106,highest educational level,no education = 0 | primary = 1 | secondary = 2 | higher = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,4
v107,highest year of education,no years completed at level v106 = 0,"haven_labelled, vctrs_vctr, double",7315,40.670521516735235,9
v133,education in single years,inconsistent = 97,"haven_labelled, vctrs_vctr, double",0,0,21
v134,na - de facto place of residence,"capital, large city = 0 | small city = 1 | town = 2 | countryside = 3","haven_labelled, vctrs_vctr, double",17986,100,0
v139,de jure region of residence,abroad = 0 | north west = 1 | north east = 2 | north central = 3 | south east = 4 | south south = 5 | south west = 6 | not a de jure resident = 97,"haven_labelled, vctrs_vctr, double",0,0,7
v140,de jure type of place of residence,abroad = 0 | urban = 1 | rural = 2 | not a de jure resident = 7,"haven_labelled, vctrs_vctr, double",0,0,3
v141,na - de jure place of residence,"capital, large city = 0 | city = 1 | town = 2 | countryside = 3 | abroad = 4 | not a de jure resident = 7","haven_labelled, vctrs_vctr, double",17848,99.23273657289002,1
v149,educational attainment,no education = 0 | incomplete primary = 1 | complete primary = 2 | incomplete secondary = 3 | complete secondary = 4 | higher = 5,"haven_labelled, vctrs_vctr, double",0,0,6
awfactr,all woman factor - regional,NA,numeric,0,0,1
awfacte,all woman factor - educational,NA,numeric,0,0,1
awfactw,all woman factor - wealth index,NA,numeric,0,0,1
v174m,month move to current place of residence,don't know month = 98,"haven_labelled, vctrs_vctr, double",15315,85.14956076948738,13
v174y,year move to current place of residence,don't know year = 9998,"haven_labelled, vctrs_vctr, double",15315,85.14956076948738,7
v175,reason for moving to current place of residence,employment = 1 | education/training = 2 | marriage formation = 3 | family reunification/other family-related reason = 4 | forced displacement = 5 | other = 96,"haven_labelled, vctrs_vctr, double",10260,57.04436784165462,6
v190,wealth index combined,poorest = 1 | poorer = 2 | middle = 3 | richer = 4 | richest = 5,"haven_labelled, vctrs_vctr, double",0,0,5
v191,wealth index factor score combined (5 decimals),NA,numeric,0,0,13433
v190a,wealth index for urban/rural,poorest = 1 | poorer = 2 | middle = 3 | richer = 4 | richest = 5,"haven_labelled, vctrs_vctr, double",0,0,5
v191a,wealth index factor score for urban/rural (5 decimals),NA,numeric,0,0,13394
v417,entries in pregnancy and postnatal care roster,NA,numeric,0,0,5
v467d,getting medical help for self: distance to health facility,no problem = 0 | big problem = 1 | not a big problem = 2,"haven_labelled, vctrs_vctr, double",0,0,2
v481,covered by health insurance,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481a,health insurance type: mutual/community organization,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481b,health insurance type: provided by employer,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481c,health insurance type: social security,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481d,health insurance type: private/commercially purchased,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v481e,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481f,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481g,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481h,na - health insurance type: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v481x,health insurance type: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v632,decision maker for using contraception,respondent = 1 | husband/partner = 2 | joint decision = 3 | someone else = 4 | other = 6,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,5
v632a,na - decision maker for not using contraception,"mainly respondent = 1 | mainly husband, partner = 2 | joint decision = 3 | other = 6","haven_labelled, vctrs_vctr, double",17986,100,0
v701,husband/partner's education level,no education = 0 | primary = 1 | secondary = 2 | higher = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,5
v702,husband/partner's highest year of education (at level in v701),no years completed at level v701 = 0 | don't know = 98,"haven_labelled, vctrs_vctr, double",7394,41.109752029356166,9
v715,husband/partner's total number of years of education,inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,22
v729,husband/partner's educational attainment,no education = 0 | incomplete primary = 1 | complete primary = 2 | incomplete secondary = 3 | complete secondary = 4 | higher = 5 | don't know = 8,"haven_labelled, vctrs_vctr, double",1064,5.915712220616035,7
