equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,highest_percent,lowest_percent,rank_high_to_low,gap_to_best_pp,gap_above_lowest_pp
zone,Zone,north central,anc_4plus,Four or more ANC contacts,1864,973,50.68,2.11,46.53,54.82,Report,50.7% (95% CI 46.5-54.8%),50.68,46.53,54.82,50.7% (95% CI 46.5-54.8%),88.01,40.77,4,37.33,9.91
zone,Zone,north central,anc_8plus,Eight or more ANC contacts,1864,236,11.46,0.94,9.62,13.29,Report,11.5% (95% CI 9.6-13.3%),11.46,9.62,13.29,11.5% (95% CI 9.6-13.3%),68.82,3.98,4,57.36,7.48
zone,Zone,north central,skilled_birth,Skilled birth attendance,1880,1054,54.2,2.32,49.64,58.75,Report,54.2% (95% CI 49.6-58.8%),54.2,49.64,58.75,54.2% (95% CI 49.6-58.8%),88.14,25.02,4,33.94,29.18
zone,Zone,north central,facility_delivery,Health facility delivery,1868,956,49.53,2.3,45.02,54.05,Report,49.5% (95% CI 45.0-54.0%),49.53,45.02,54.05,49.5% (95% CI 45.0-54.0%),87.89,21.5,4,38.36,28.03
zone,Zone,north central,mother_pnc_2days,Maternal PNC within 2 days,1880,1035,53.41,1.95,49.59,57.22,Report,53.4% (95% CI 49.6-57.2%),53.41,49.59,57.22,53.4% (95% CI 49.6-57.2%),78.51,24.89,4,25.1,28.52
zone,Zone,north central,newborn_pnc_2days,Newborn PNC within 2 days,1880,1039,53.67,1.85,50.06,57.29,Report,53.7% (95% CI 50.1-57.3%),53.67,50.06,57.29,53.7% (95% CI 50.1-57.3%),79.13,23.89,4,25.46,29.78
zone,Zone,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1880,967,49.66,1.83,46.07,53.26,Report,49.7% (95% CI 46.1-53.3%),49.66,46.07,53.26,49.7% (95% CI 46.1-53.3%),74.37,19.81,4,24.71,29.85
zone,Zone,north central,complete_continuum,Complete continuum,1864,642,32.54,1.8,29.02,36.06,Report,32.5% (95% CI 29.0-36.1%),32.54,29.02,36.06,32.5% (95% CI 29.0-36.1%),63.6,10.35,4,31.06,22.19
zone,Zone,north east,anc_4plus,Four or more ANC contacts,2268,1096,50.65,2.12,46.49,54.8,Report,50.6% (95% CI 46.5-54.8%),50.65,46.49,54.8,50.6% (95% CI 46.5-54.8%),88.01,40.77,5,37.36,9.88
zone,Zone,north east,anc_8plus,Eight or more ANC contacts,2268,83,3.98,0.58,2.84,5.12,Report,4.0% (95% CI 2.8-5.1%),3.98,2.84,5.12,4.0% (95% CI 2.8-5.1%),68.82,3.98,6,64.84,0
zone,Zone,north east,skilled_birth,Skilled birth attendance,2271,697,31.48,1.86,27.83,35.13,Report,31.5% (95% CI 27.8-35.1%),31.48,27.83,35.13,31.5% (95% CI 27.8-35.1%),88.14,25.02,5,56.66,6.46
zone,Zone,north east,facility_delivery,Health facility delivery,2269,800,36.17,1.88,32.48,39.85,Report,36.2% (95% CI 32.5-39.9%),36.17,32.48,39.85,36.2% (95% CI 32.5-39.9%),87.89,21.5,5,51.72,14.67
zone,Zone,north east,mother_pnc_2days,Maternal PNC within 2 days,2271,813,36.34,1.77,32.87,39.8,Report,36.3% (95% CI 32.9-39.8%),36.34,32.87,39.8,36.3% (95% CI 32.9-39.8%),78.51,24.89,5,42.17,11.45
zone,Zone,north east,newborn_pnc_2days,Newborn PNC within 2 days,2271,818,35.25,1.85,31.62,38.88,Report,35.2% (95% CI 31.6-38.9%),35.25,31.62,38.88,35.2% (95% CI 31.6-38.9%),79.13,23.89,5,43.88,11.36
zone,Zone,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,2271,724,31.34,1.79,27.84,34.84,Report,31.3% (95% CI 27.8-34.8%),31.34,27.84,34.84,31.3% (95% CI 27.8-34.8%),74.37,19.81,5,43.03,11.53
zone,Zone,north east,complete_continuum,Complete continuum,2268,309,14.08,1.27,11.59,16.58,Report,14.1% (95% CI 11.6-16.6%),14.08,11.59,16.58,14.1% (95% CI 11.6-16.6%),63.6,10.35,5,49.52,3.73
zone,Zone,north west,anc_4plus,Four or more ANC contacts,3249,1207,40.77,1.72,37.39,44.15,Report,40.8% (95% CI 37.4-44.1%),40.77,37.39,44.15,40.8% (95% CI 37.4-44.1%),88.01,40.77,6,47.24,0
zone,Zone,north west,anc_8plus,Eight or more ANC contacts,3249,148,5.49,0.71,4.1,6.89,Report,5.5% (95% CI 4.1-6.9%),5.49,4.1,6.89,5.5% (95% CI 4.1-6.9%),68.82,3.98,5,63.33,1.51
zone,Zone,north west,skilled_birth,Skilled birth attendance,3259,745,25.02,1.52,22.04,27.99,Report,25.0% (95% CI 22.0-28.0%),25.02,22.04,27.99,25.0% (95% CI 22.0-28.0%),88.14,25.02,6,63.12,0
zone,Zone,north west,facility_delivery,Health facility delivery,3256,644,21.5,1.39,18.79,24.22,Report,21.5% (95% CI 18.8-24.2%),21.5,18.79,24.22,21.5% (95% CI 18.8-24.2%),87.89,21.5,6,66.39,0
zone,Zone,north west,mother_pnc_2days,Maternal PNC within 2 days,3259,782,24.89,1.31,22.33,27.46,Report,24.9% (95% CI 22.3-27.5%),24.89,22.33,27.46,24.9% (95% CI 22.3-27.5%),78.51,24.89,6,53.62,0
zone,Zone,north west,newborn_pnc_2days,Newborn PNC within 2 days,3259,781,23.89,1.25,21.44,26.34,Report,23.9% (95% CI 21.4-26.3%),23.89,21.44,26.34,23.9% (95% CI 21.4-26.3%),79.13,23.89,6,55.24,0
zone,Zone,north west,paired_pnc_2days,Mother and newborn both received PNC within 2 days,3259,649,19.81,1.19,17.49,22.14,Report,19.8% (95% CI 17.5-22.1%),19.81,17.49,22.14,19.8% (95% CI 17.5-22.1%),74.37,19.81,6,54.56,0
zone,Zone,north west,complete_continuum,Complete continuum,3249,307,10.35,0.87,8.65,12.04,Report,10.3% (95% CI 8.6-12.0%),10.35,8.65,12.04,10.3% (95% CI 8.6-12.0%),63.6,10.35,6,53.25,0
zone,Zone,south east,anc_4plus,Four or more ANC contacts,1043,821,76.74,2.62,71.61,81.87,Report,76.7% (95% CI 71.6-81.9%),76.74,71.61,81.87,76.7% (95% CI 71.6-81.9%),88.01,40.77,2,11.27,35.97
zone,Zone,south east,anc_8plus,Eight or more ANC contacts,1043,386,36.64,2.25,32.23,41.04,Report,36.6% (95% CI 32.2-41.0%),36.64,32.23,41.04,36.6% (95% CI 32.2-41.0%),68.82,3.98,3,32.18,32.66
zone,Zone,south east,skilled_birth,Skilled birth attendance,1093,974,88.14,1.81,84.58,91.69,Report,88.1% (95% CI 84.6-91.7%),88.14,84.58,91.69,88.1% (95% CI 84.6-91.7%),88.14,25.02,1,0,63.12
zone,Zone,south east,facility_delivery,Health facility delivery,1075,946,87.89,1.41,85.13,90.65,Report,87.9% (95% CI 85.1-90.7%),87.89,85.13,90.65,87.9% (95% CI 85.1-90.7%),87.89,21.5,1,0,66.39
zone,Zone,south east,mother_pnc_2days,Maternal PNC within 2 days,1093,694,63.09,1.87,59.43,66.76,Report,63.1% (95% CI 59.4-66.8%),63.09,59.43,66.76,63.1% (95% CI 59.4-66.8%),78.51,24.89,3,15.42,38.2
