variable,variable_label,value_labels,r_class,total_n,nonmissing_n,missing_n,missing_percent,unique_nonmissing_values
v005,women's individual sample weight (6 decimals),NA,numeric,17986,17986,0,0,1367
v021,primary sampling unit,NA,numeric,17986,17986,0,0,1369
v022,sample strata for sampling errors,sokoto urban = 1 | sokoto rural = 2 | zamfara urban = 3 | zamfara rural = 4 | katsina urban = 5 | katsina rural = 6 | jigawa urban = 7 | jigawa rural = 8 | yobe urban = 9 | yobe rural = 10 | borno urban = 11 | borno rural = 12 | adamawa urban = 13 | adamawa rural = 14 | gombe urban = 15 | gombe rural = 16 | bauchi urban = 17 | bauchi rural = 18 | kano urban = 19 | kano rural = 20 | kaduna urban = 21 | kaduna rural = 22 | kebbi urban = 23 | kebbi rural = 24 | niger urban = 25 | niger rural = 26 | fct urban = 27 | fct rural = 28 | nasarawa urban = 29 | nasarawa rural = 30 | plateau urban = 31 | plateau rural = 32 | taraba urban = 33 | taraba rural = 34 | benue urban = 35 | benue rural = 36 | kogi urban = 37 | kogi rural = 38 | kwara urban = 39 | kwara rural = 40 | oyo urban = 41 | oyo rural = 42 | osun urban = 43 | osun rural = 44 | ekiti urban = 45 | ekiti rural = 46 | ondo urban = 47 | ondo rural = 48 | edo urban = 49 | edo rural = 50 | anambra urban = 51 | anambra rural = 52 | enugu urban = 53 | enugu rural = 54 | ebonyi urban = 55 | ebonyi rural = 56 | cross river urban = 57 | cross river rural = 58 | akwa ibom urban = 59 | akwa ibom rural = 60 | abia urban = 61 | abia rural = 62 | imo urban = 63 | imo rural = 64 | rivers urban = 65 | rivers rural = 66 | bayelsa urban = 67 | bayelsa rural = 68 | delta urban = 69 | delta rural = 70 | lagos urban = 71 | lagos rural = 72 | ogun urban = 73 | ogun rural = 74,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,74
v023,stratification used in sample design,sokoto urban = 1 | sokoto rural = 2 | zamfara urban = 3 | zamfara rural = 4 | katsina urban = 5 | katsina rural = 6 | jigawa urban = 7 | jigawa rural = 8 | yobe urban = 9 | yobe rural = 10 | borno urban = 11 | borno rural = 12 | adamawa urban = 13 | adamawa rural = 14 | gombe urban = 15 | gombe rural = 16 | bauchi urban = 17 | bauchi rural = 18 | kano urban = 19 | kano rural = 20 | kaduna urban = 21 | kaduna rural = 22 | kebbi urban = 23 | kebbi rural = 24 | niger urban = 25 | niger rural = 26 | fct urban = 27 | fct rural = 28 | nasarawa urban = 29 | nasarawa rural = 30 | plateau urban = 31 | plateau rural = 32 | taraba urban = 33 | taraba rural = 34 | benue urban = 35 | benue rural = 36 | kogi urban = 37 | kogi rural = 38 | kwara urban = 39 | kwara rural = 40 | oyo urban = 41 | oyo rural = 42 | osun urban = 43 | osun rural = 44 | ekiti urban = 45 | ekiti rural = 46 | ondo urban = 47 | ondo rural = 48 | edo urban = 49 | edo rural = 50 | anambra urban = 51 | anambra rural = 52 | enugu urban = 53 | enugu rural = 54 | ebonyi urban = 55 | ebonyi rural = 56 | cross river urban = 57 | cross river rural = 58 | akwa ibom urban = 59 | akwa ibom rural = 60 | abia urban = 61 | abia rural = 62 | imo urban = 63 | imo rural = 64 | rivers urban = 65 | rivers rural = 66 | bayelsa urban = 67 | bayelsa rural = 68 | delta urban = 69 | delta rural = 70 | lagos urban = 71 | lagos rural = 72 | ogun urban = 73 | ogun rural = 74,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,74
v024,zone (code are as per sample frame),north west = 1 | north east = 2 | north central = 3 | south east = 4 | south south = 5 | south west = 6,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,6
v025,type of place of residence,urban = 1 | rural = 2,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,2
v012,respondent's current age,NA,numeric,17986,17986,0,0,35
v013,age in 5-year groups,15-19 = 1 | 20-24 = 2 | 25-29 = 3 | 30-34 = 4 | 35-39 = 5 | 40-44 = 6 | 45-49 = 7,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,7
v106,highest educational level,no education = 0 | primary = 1 | secondary = 2 | higher = 3 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,4
v190,wealth index combined,poorest = 1 | poorer = 2 | middle = 3 | richer = 4 | richest = 5,"haven_labelled, vctrs_vctr, double",17986,17986,0,0,5
