variable,raw_value,display_value,n,percent
v005,1714643,1714643,45,0.2501945957967308
v005,1571021,1571021,44,0.24463471589013674
v005,1701534,1701534,43,0.23907483598354273
v005,398255,398255,42,0.23351495607694872
v005,1190927,1190927,41,0.2279550761703547
v005,1207601,1207601,41,0.2279550761703547
v005,1085761,1085761,40,0.2223951962637607
v005,369971,369971,40,0.2223951962637607
v005,771784,771784,40,0.2223951962637607
v005,1976462,1976462,39,0.21683531635716666
v005,2159181,2159181,39,0.21683531635716666
v005,717565,717565,38,0.21127543645057265
v005,1195117,1195117,37,0.20571555654397863
v005,1637714,1637714,37,0.20571555654397863
v005,1778868,1778868,37,0.20571555654397863
v005,455188,455188,36,0.20015567663738462
v005,457750,457750,36,0.20015567663738462
v005,680475,680475,35,0.1945957967307906
v005,1000503,1000503,34,0.1890359168241966
v005,1730390,1730390,34,0.1890359168241966
v005,2149704,2149704,33,0.1834760369176026
v005,2958787,2958787,33,0.1834760369176026
v005,3648295,3648295,33,0.1834760369176026
v005,415385,415385,33,0.1834760369176026
v005,983546,983546,33,0.1834760369176026
v005,1029515,1029515,32,0.17791615701100857
v005,1162873,1162873,32,0.17791615701100857
v005,574055,574055,32,0.17791615701100857
v005,765104,765104,32,0.17791615701100857
v005,814703,814703,32,0.17791615701100857
v005,894044,894044,32,0.17791615701100857
v005,1136722,1136722,31,0.17235627710441456
v005,1254609,1254609,31,0.17235627710441456
v005,1292335,1292335,31,0.17235627710441456
v005,2071992,2071992,31,0.17235627710441456
v005,2564228,2564228,31,0.17235627710441456
v005,302917,302917,31,0.17235627710441456
v005,466184,466184,31,0.17235627710441456
v005,536393,536393,31,0.17235627710441456
v005,625868,625868,31,0.17235627710441456
v005,1737947,1737947,30,0.16679639719782052
v005,1939146,1939146,30,0.16679639719782052
v005,228225,228225,30,0.16679639719782052
v005,362161,362161,30,0.16679639719782052
v005,454221,454221,30,0.16679639719782052
v005,474022,474022,30,0.16679639719782052
v005,951197,951197,30,0.16679639719782052
v005,1139872,1139872,29,0.1612365172912265
v005,1151932,1151932,29,0.1612365172912265
v005,1463544,1463544,29,0.1612365172912265
v005,1661519,1661519,29,0.1612365172912265
v005,2197363,2197363,29,0.1612365172912265
v005,2636896,2636896,29,0.1612365172912265
v005,472239,472239,29,0.1612365172912265
v005,720509,720509,29,0.1612365172912265
v005,725599,725599,29,0.1612365172912265
v005,1087645,1087645,28,0.1556766373846325
v005,1442977,1442977,28,0.1556766373846325
v005,1765275,1765275,28,0.1556766373846325
v005,1863350,1863350,28,0.1556766373846325
v005,2066356,2066356,28,0.1556766373846325
v005,2250545,2250545,28,0.1556766373846325
v005,2466421,2466421,28,0.1556766373846325
v005,438426,438426,28,0.1556766373846325
v005,451473,451473,28,0.1556766373846325
v005,451844,451844,28,0.1556766373846325
v005,512565,512565,28,0.1556766373846325
v005,611982,611982,28,0.1556766373846325
v005,655606,655606,28,0.1556766373846325
v005,787919,787919,28,0.1556766373846325
v005,828671,828671,28,0.1556766373846325
v005,933448,933448,28,0.1556766373846325
v005,1282644,1282644,27,0.1501167574780385
v005,1486931,1486931,27,0.1501167574780385
v005,1872600,1872600,27,0.1501167574780385
v005,2183071,2183071,27,0.1501167574780385
v005,3779166,3779166,27,0.1501167574780385
v005,430610,430610,27,0.1501167574780385
v005,587699,587699,27,0.1501167574780385
v005,629189,629189,27,0.1501167574780385
v005,734178,734178,27,0.1501167574780385
