variable,predictor,category,unweighted_n
age_group_model,Age group,15-19,654
age_group_model,Age group,20-24,2365
age_group_model,Age group,25-29,2745
age_group_model,Age group,30-34,2287
age_group_model,Age group,35-39,1410
age_group_model,Age group,40-44,632
age_group_model,Age group,45-49,143
education_model,Education,higher,1061
education_model,Education,no education,4513
education_model,Education,primary,1142
education_model,Education,secondary,3520
wealth_model,Wealth quintile,middle,1954
wealth_model,Wealth quintile,poorer,2117
wealth_model,Wealth quintile,poorest,2755
wealth_model,Wealth quintile,richer,1868
wealth_model,Wealth quintile,richest,1542
residence_model,Residence,rural,6428
residence_model,Residence,urban,3808
zone_model,Geopolitical zone,north central,1864
zone_model,Geopolitical zone,north east,2268
zone_model,Geopolitical zone,north west,3249
zone_model,Geopolitical zone,south east,1043
zone_model,Geopolitical zone,south south,912
zone_model,Geopolitical zone,south west,900
