outcome_variable,outcome_definition,term,log_odds,standard_error,adjusted_odds_ratio,confidence_interval_low,confidence_interval_high,p_value,association_direction,statistically_significant,estimate_95ci
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model15-19,-0.14408204006405415,0.1845943991263865,0.866,0.603,1.244,0.4352,Negative,No,0.87 (95% CI 0.60-1.24)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model25-29,0.05149333962591901,0.0931124344962783,1.053,0.877,1.264,0.5803,Positive,No,1.05 (95% CI 0.88-1.26)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model30-34,0.15139086919714748,0.09136805577786722,1.163,0.973,1.392,0.0978,Positive,No,1.16 (95% CI 0.97-1.39)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model35-39,0.0034998775439090786,0.11298617447402183,1.004,0.804,1.253,0.9753,Positive,No,1.00 (95% CI 0.80-1.25)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model40-44,0.09242113188256666,0.17750169531244497,1.097,0.774,1.554,0.6027,Positive,No,1.10 (95% CI 0.77-1.55)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,age_group_model45-49,0.006654675128511557,0.2538340516663353,1.007,0.612,1.656,0.9791,Positive,No,1.01 (95% CI 0.61-1.66)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,education_modelhigher,1.8208372193796227,0.14325532290060605,6.177,4.664,8.182,0,Positive,Yes,6.18 (95% CI 4.66-8.18)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,education_modelprimary,0.5968740915375575,0.127010920948054,1.816,1.416,2.33,0,Positive,Yes,1.82 (95% CI 1.42-2.33)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,education_modelsecondary,1.0913504262055032,0.10885269153382401,2.978,2.406,3.687,0,Positive,Yes,2.98 (95% CI 2.41-3.69)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,wealth_modelmiddle,1.0674659707484853,0.15528650367901967,2.908,2.144,3.944,0,Positive,Yes,2.91 (95% CI 2.14-3.94)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,wealth_modelpoorer,0.45963883530957833,0.16355642289919864,1.584,1.149,2.183,0.005,Positive,Yes,1.58 (95% CI 1.15-2.18)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,wealth_modelricher,1.417890231094553,0.15997707456165047,4.128,3.016,5.65,0,Positive,Yes,4.13 (95% CI 3.02-5.65)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,wealth_modelrichest,1.8674011852556989,0.1768851029779455,6.471,4.574,9.156,0,Positive,Yes,6.47 (95% CI 4.57-9.16)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,residence_modelurban,0.29492275050112104,0.08372435970545909,1.343,1.14,1.583,4e-4,Positive,Yes,1.34 (95% CI 1.14-1.58)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,zone_modelnorth central,1.1348201442617172,0.11074032670871937,3.111,2.503,3.865,0,Positive,Yes,3.11 (95% CI 2.50-3.87)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,zone_modelnorth east,0.5772131275107466,0.12452828581452362,1.781,1.395,2.274,0,Positive,Yes,1.78 (95% CI 1.40-2.27)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth east,1.0407669319144812,0.11709703864357122,2.831,2.25,3.563,0,Positive,Yes,2.83 (95% CI 2.25-3.56)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth south,0.7637865356426924,0.12447426406295897,2.146,1.681,2.74,0,Positive,Yes,2.15 (95% CI 1.68-2.74)
complete_continuum,Primary: ANC4 + skilled birth + paired PNC,zone_modelsouth west,1.428613110123736,0.1364343663565619,4.173,3.193,5.454,0,Positive,Yes,4.17 (95% CI 3.19-5.45)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model15-19,-0.4675942931840959,0.3466338862631147,0.627,0.317,1.237,0.1776,Negative,No,0.63 (95% CI 0.32-1.24)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model25-29,0.10120308729991555,0.12464444697095392,1.107,0.866,1.413,0.417,Positive,No,1.11 (95% CI 0.87-1.41)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model30-34,0.12737220850938102,0.12717417711060466,1.136,0.885,1.458,0.3167,Positive,No,1.14 (95% CI 0.88-1.46)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model35-39,0.00864199832290892,0.14881513747808017,1.009,0.753,1.351,0.9537,Positive,No,1.01 (95% CI 0.75-1.35)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model40-44,-0.012517597943182048,0.20574994622059908,0.988,0.66,1.479,0.9515,Negative,No,0.99 (95% CI 0.66-1.48)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,age_group_model45-49,-0.3119598782632389,0.36318211357131774,0.732,0.359,1.493,0.3905,Negative,No,0.73 (95% CI 0.36-1.49)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelhigher,1.6467675883675268,0.2308895382533687,5.19,3.3,8.164,0,Positive,Yes,5.19 (95% CI 3.30-8.16)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelprimary,0.5921108817129347,0.22182100498539273,1.808,1.17,2.793,0.0077,Positive,Yes,1.81 (95% CI 1.17-2.79)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,education_modelsecondary,1.0569127672906662,0.20804017535827857,2.877,1.913,4.328,0,Positive,Yes,2.88 (95% CI 1.91-4.33)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelmiddle,0.8233335189865595,0.276962460809067,2.278,1.323,3.922,0.003,Positive,Yes,2.28 (95% CI 1.32-3.92)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelpoorer,0.5162478719096794,0.32492911713395023,1.676,0.886,3.17,0.1124,Positive,No,1.68 (95% CI 0.89-3.17)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelricher,1.1910565644624898,0.2862630478636746,3.291,1.877,5.77,0,Positive,Yes,3.29 (95% CI 1.88-5.77)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,wealth_modelrichest,1.710631999813164,0.2908146980303205,5.532,3.127,9.788,0,Positive,Yes,5.53 (95% CI 3.13-9.79)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,residence_modelurban,0.1875536014004213,0.10650571278592759,1.206,0.979,1.487,0.0785,Positive,No,1.21 (95% CI 0.98-1.49)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,zone_modelnorth central,0.9118957404830131,0.18577731862389182,2.489,1.729,3.584,0,Positive,Yes,2.49 (95% CI 1.73-3.58)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,zone_modelnorth east,-0.3356087268767522,0.2804578525939073,0.715,0.412,1.239,0.2317,Negative,No,0.71 (95% CI 0.41-1.24)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,zone_modelsouth east,1.7575578403705305,0.19023029094511812,5.798,3.992,8.421,0,Positive,Yes,5.80 (95% CI 3.99-8.42)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,zone_modelsouth south,1.9502852362600818,0.18475983772297475,7.031,4.893,10.102,0,Positive,Yes,7.03 (95% CI 4.89-10.10)
complete_continuum_anc8,Sensitivity 1: ANC8 + skilled birth + paired PNC,zone_modelsouth west,2.7766945740621654,0.1846001395318272,16.066,11.185,23.077,0,Positive,Yes,16.07 (95% CI 11.19-23.08)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model15-19,-0.1995302573686004,0.1847515189196445,0.819,0.57,1.177,0.2804,Negative,No,0.82 (95% CI 0.57-1.18)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model25-29,0.08430722821344273,0.09470772563657266,1.088,0.903,1.31,0.3735,Positive,No,1.09 (95% CI 0.90-1.31)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model30-34,0.13727432873437995,0.09753557856166677,1.147,0.947,1.389,0.1595,Positive,No,1.15 (95% CI 0.95-1.39)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model35-39,0.018257983801820817,0.11200874653756807,1.018,0.818,1.269,0.8705,Positive,No,1.02 (95% CI 0.82-1.27)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model40-44,0.11030393073273369,0.17129654521531484,1.117,0.798,1.563,0.5197,Positive,No,1.12 (95% CI 0.80-1.56)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,age_group_model45-49,-0.1610716359601838,0.26394769055143075,0.851,0.507,1.429,0.5418,Negative,No,0.85 (95% CI 0.51-1.43)
complete_continuum_facility,Sensitivity 2: ANC4 + facility delivery + paired PNC,education_modelhigher,1.8877932489765195,0.14190582735547896,6.605,5,8.725,0,Positive,Yes,6.61 (95% CI 5.00-8.72)
