state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate
Abia,south east,anc_4plus,Four or more ANC contacts,145,120,83.97,3.37,77.37,90.58,Report,84.0% (95% CI 77.4-90.6%),83.97,77.37,90.58,84.0% (95% CI 77.4-90.6%)
Abia,south east,anc_8plus,Eight or more ANC contacts,145,67,48.97,6.14,36.94,60.99,Report,49.0% (95% CI 36.9-61.0%),48.97,36.94,60.99,49.0% (95% CI 36.9-61.0%)
Abia,south east,skilled_birth,Skilled birth attendance,154,145,94.8,1.65,91.56,98.04,Report,94.8% (95% CI 91.6-98.0%),94.8,91.56,98.04,94.8% (95% CI 91.6-98.0%)
Abia,south east,facility_delivery,Health facility delivery,152,132,87.26,2.82,81.74,92.77,Report,87.3% (95% CI 81.7-92.8%),87.26,81.74,92.77,87.3% (95% CI 81.7-92.8%)
Abia,south east,mother_pnc_2days,Maternal PNC within 2 days,154,102,66.4,2.97,60.57,72.23,Report,66.4% (95% CI 60.6-72.2%),66.4,60.57,72.23,66.4% (95% CI 60.6-72.2%)
Abia,south east,newborn_pnc_2days,Newborn PNC within 2 days,154,103,65.9,3.91,58.24,73.56,Report,65.9% (95% CI 58.2-73.6%),65.9,58.24,73.56,65.9% (95% CI 58.2-73.6%)
Abia,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,154,95,60.69,3.43,53.96,67.41,Report,60.7% (95% CI 54.0-67.4%),60.69,53.96,67.41,60.7% (95% CI 54.0-67.4%)
Abia,south east,complete_continuum,Complete continuum,145,77,52.44,3.18,46.2,58.68,Report,52.4% (95% CI 46.2-58.7%),52.44,46.2,58.68,52.4% (95% CI 46.2-58.7%)
Adamawa,north east,anc_4plus,Four or more ANC contacts,350,197,56.55,4.83,47.09,66.01,Report,56.5% (95% CI 47.1-66.0%),56.55,47.09,66.01,56.5% (95% CI 47.1-66.0%)
Adamawa,north east,anc_8plus,Eight or more ANC contacts,350,10,2.49,0.95,0.62,4.35,Report,2.5% (95% CI 0.6-4.3%),2.49,0.62,4.35,2.5% (95% CI 0.6-4.3%)
Adamawa,north east,skilled_birth,Skilled birth attendance,351,73,23.62,4.51,14.78,32.45,Report,23.6% (95% CI 14.8-32.5%),23.62,14.78,32.45,23.6% (95% CI 14.8-32.5%)
Adamawa,north east,facility_delivery,Health facility delivery,351,133,40.38,5.2,30.19,50.58,Report,40.4% (95% CI 30.2-50.6%),40.38,30.19,50.58,40.4% (95% CI 30.2-50.6%)
Adamawa,north east,mother_pnc_2days,Maternal PNC within 2 days,351,170,50.85,3.97,43.07,58.64,Report,50.9% (95% CI 43.1-58.6%),50.85,43.07,58.64,50.9% (95% CI 43.1-58.6%)
Adamawa,north east,newborn_pnc_2days,Newborn PNC within 2 days,351,198,58.91,3.38,52.28,65.54,Report,58.9% (95% CI 52.3-65.5%),58.91,52.28,65.54,58.9% (95% CI 52.3-65.5%)
Adamawa,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,351,156,46.31,4.04,38.4,54.22,Report,46.3% (95% CI 38.4-54.2%),46.31,38.4,54.22,46.3% (95% CI 38.4-54.2%)
Adamawa,north east,complete_continuum,Complete continuum,350,33,11.75,3.1,5.67,17.83,Report,11.8% (95% CI 5.7-17.8%),11.75,5.67,17.83,11.8% (95% CI 5.7-17.8%)
Akwa Ibom,south south,anc_4plus,Four or more ANC contacts,148,99,66.41,4.03,58.52,74.3,Report,66.4% (95% CI 58.5-74.3%),66.41,58.52,74.3,66.4% (95% CI 58.5-74.3%)
Akwa Ibom,south south,anc_8plus,Eight or more ANC contacts,148,30,18.97,4.1,10.94,27.01,Report,19.0% (95% CI 10.9-27.0%),18.97,10.94,27.01,19.0% (95% CI 10.9-27.0%)
Akwa Ibom,south south,skilled_birth,Skilled birth attendance,149,79,51.23,5.95,39.56,62.89,Report,51.2% (95% CI 39.6-62.9%),51.23,39.56,62.89,51.2% (95% CI 39.6-62.9%)
Akwa Ibom,south south,facility_delivery,Health facility delivery,136,60,42.52,4.84,33.03,52.01,Report,42.5% (95% CI 33.0-52.0%),42.52,33.03,52.01,42.5% (95% CI 33.0-52.0%)
Akwa Ibom,south south,mother_pnc_2days,Maternal PNC within 2 days,149,89,60.42,4.27,52.05,68.78,Report,60.4% (95% CI 52.0-68.8%),60.42,52.05,68.78,60.4% (95% CI 52.0-68.8%)
Akwa Ibom,south south,newborn_pnc_2days,Newborn PNC within 2 days,149,101,69.17,3.52,62.28,76.06,Report,69.2% (95% CI 62.3-76.1%),69.17,62.28,76.06,69.2% (95% CI 62.3-76.1%)
Akwa Ibom,south south,paired_pnc_2days,Mother and newborn both received PNC within 2 days,149,80,55.1,4.34,46.6,63.61,Report,55.1% (95% CI 46.6-63.6%),55.1,46.6,63.61,55.1% (95% CI 46.6-63.6%)
Akwa Ibom,south south,complete_continuum,Complete continuum,148,46,29.97,4.23,21.68,38.26,Report,30.0% (95% CI 21.7-38.3%),29.97,21.68,38.26,30.0% (95% CI 21.7-38.3%)
Anambra,south east,anc_4plus,Four or more ANC contacts,213,181,84.86,3.69,77.62,92.1,Report,84.9% (95% CI 77.6-92.1%),84.86,77.62,92.1,84.9% (95% CI 77.6-92.1%)
Anambra,south east,anc_8plus,Eight or more ANC contacts,213,118,54.92,5.25,44.63,65.21,Report,54.9% (95% CI 44.6-65.2%),54.92,44.63,65.21,54.9% (95% CI 44.6-65.2%)
Anambra,south east,skilled_birth,Skilled birth attendance,213,196,93.04,2.16,88.82,97.26,Report,93.0% (95% CI 88.8-97.3%),93.04,88.82,97.26,93.0% (95% CI 88.8-97.3%)
Anambra,south east,facility_delivery,Health facility delivery,200,175,88.25,2.54,83.28,93.22,Report,88.2% (95% CI 83.3-93.2%),88.25,83.28,93.22,88.2% (95% CI 83.3-93.2%)
Anambra,south east,mother_pnc_2days,Maternal PNC within 2 days,213,153,73.17,3.19,66.9,79.43,Report,73.2% (95% CI 66.9-79.4%),73.17,66.9,79.43,73.2% (95% CI 66.9-79.4%)
Anambra,south east,newborn_pnc_2days,Newborn PNC within 2 days,213,151,70.87,3.27,64.45,77.28,Report,70.9% (95% CI 64.5-77.3%),70.87,64.45,77.28,70.9% (95% CI 64.5-77.3%)
Anambra,south east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,213,147,69.45,3.31,62.96,75.93,Report,69.5% (95% CI 63.0-75.9%),69.45,62.96,75.93,69.5% (95% CI 63.0-75.9%)
Anambra,south east,complete_continuum,Complete continuum,213,131,62.67,4.49,53.87,71.48,Report,62.7% (95% CI 53.9-71.5%),62.67,53.87,71.48,62.7% (95% CI 53.9-71.5%)
Bauchi,north east,anc_4plus,Four or more ANC contacts,454,206,46.83,5.01,37.01,56.64,Report,46.8% (95% CI 37.0-56.6%),46.83,37.01,56.64,46.8% (95% CI 37.0-56.6%)
Bauchi,north east,anc_8plus,Eight or more ANC contacts,454,26,5.2,1.24,2.76,7.64,Report,5.2% (95% CI 2.8-7.6%),5.2,2.76,7.64,5.2% (95% CI 2.8-7.6%)
Bauchi,north east,skilled_birth,Skilled birth attendance,456,126,27.65,3.76,20.27,35.02,Report,27.6% (95% CI 20.3-35.0%),27.65,20.27,35.02,27.6% (95% CI 20.3-35.0%)
Bauchi,north east,facility_delivery,Health facility delivery,456,133,30.49,3.2,24.21,36.76,Report,30.5% (95% CI 24.2-36.8%),30.49,24.21,36.76,30.5% (95% CI 24.2-36.8%)
Bauchi,north east,mother_pnc_2days,Maternal PNC within 2 days,456,93,23.95,3.33,17.42,30.47,Report,23.9% (95% CI 17.4-30.5%),23.95,17.42,30.47,23.9% (95% CI 17.4-30.5%)
Bauchi,north east,newborn_pnc_2days,Newborn PNC within 2 days,456,86,20.1,3.19,13.85,26.35,Report,20.1% (95% CI 13.8-26.4%),20.1,13.85,26.35,20.1% (95% CI 13.8-26.4%)
Bauchi,north east,paired_pnc_2days,Mother and newborn both received PNC within 2 days,456,75,18.18,3.01,12.29,24.08,Report,18.2% (95% CI 12.3-24.1%),18.18,12.29,24.08,18.2% (95% CI 12.3-24.1%)
Bauchi,north east,complete_continuum,Complete continuum,454,43,10.08,2.46,5.26,14.9,Report,10.1% (95% CI 5.3-14.9%),10.08,5.26,14.9,10.1% (95% CI 5.3-14.9%)
