zone,state,unweighted_records
north central,Benue,218
north central,Federal Capital Territory,167
north central,Kogi,270
north central,Kwara,227
north central,Nasarawa,294
north central,Niger,368
north central,Plateau,336
north east,Adamawa,351
north east,Bauchi,456
north east,Borno,347
north east,Gombe,391
north east,Taraba,268
north east,Yobe,458
north west,Jigawa,523
north west,Kaduna,504
north west,Kano,575
north west,Katsina,420
north west,Kebbi,504
north west,Sokoto,441
north west,Zamfara,292
south east,Abia,154
south east,Anambra,213
south east,Ebonyi,332
south east,Enugu,156
south east,Imo,238
south south,Akwa Ibom,149
south south,Bayelsa,171
south south,Cross River,148
south south,Delta,205
south south,Edo,158
south south,Rivers,196
south west,Ekiti,111
south west,Lagos,177
south west,Ogun,206
south west,Ondo,134
south west,Osun,149
south west,Oyo,215
