state,zone,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci,public_weighted_percent,public_ci_low,public_ci_high,public_estimate,national_percent,state_rank,best_state_percent,worst_state_percent,gap_from_best_pp,difference_from_national_pp
Lagos,south west,complete_continuum,Complete continuum,175,127,72.69,5.49,61.92,83.46,Report,72.7% (95% CI 61.9-83.5%),72.69,61.92,83.46,72.7% (95% CI 61.9-83.5%),24.52,1,72.69,3.28,0,48.17
Osun,south west,complete_continuum,Complete continuum,148,98,64.7,3.54,57.76,71.63,Report,64.7% (95% CI 57.8-71.6%),64.7,57.76,71.63,64.7% (95% CI 57.8-71.6%),24.52,2,72.69,3.28,7.99,40.18
Federal Capital Territory,north central,complete_continuum,Complete continuum,161,100,62.97,4.45,54.26,71.68,Report,63.0% (95% CI 54.3-71.7%),62.97,54.26,71.68,63.0% (95% CI 54.3-71.7%),24.52,3,72.69,3.28,9.72,38.45
Edo,south south,complete_continuum,Complete continuum,119,76,62.71,4.56,53.76,71.66,Report,62.7% (95% CI 53.8-71.7%),62.71,53.76,71.66,62.7% (95% CI 53.8-71.7%),24.52,4,72.69,3.28,9.98,38.19
Anambra,south east,complete_continuum,Complete continuum,213,131,62.67,4.49,53.87,71.48,Report,62.7% (95% CI 53.9-71.5%),62.67,53.87,71.48,62.7% (95% CI 53.9-71.5%),24.52,5,72.69,3.28,10.02,38.15
Oyo,south west,complete_continuum,Complete continuum,197,123,61.06,4.85,51.55,70.57,Report,61.1% (95% CI 51.5-70.6%),61.06,51.55,70.57,61.1% (95% CI 51.5-70.6%),24.52,6,72.69,3.28,11.63,36.54
Ogun,south west,complete_continuum,Complete continuum,168,101,60.1,4.61,51.06,69.14,Report,60.1% (95% CI 51.1-69.1%),60.1,51.06,69.14,60.1% (95% CI 51.1-69.1%),24.52,7,72.69,3.28,12.59,35.58
Delta,south south,complete_continuum,Complete continuum,154,85,59.35,4.73,50.09,68.62,Report,59.4% (95% CI 50.1-68.6%),59.35,50.09,68.62,59.4% (95% CI 50.1-68.6%),24.52,8,72.69,3.28,13.34,34.83
Ekiti,south west,complete_continuum,Complete continuum,87,47,55.75,4.32,47.28,64.22,Report,55.8% (95% CI 47.3-64.2%),55.75,47.28,64.22,55.8% (95% CI 47.3-64.2%),24.52,9,72.69,3.28,16.94,31.23
Abia,south east,complete_continuum,Complete continuum,145,77,52.44,3.18,46.2,58.68,Report,52.4% (95% CI 46.2-58.7%),52.44,46.2,58.68,52.4% (95% CI 46.2-58.7%),24.52,10,72.69,3.28,20.25,27.92
Ondo,south west,complete_continuum,Complete continuum,125,59,52.07,5.78,40.76,63.39,Report,52.1% (95% CI 40.8-63.4%),52.07,40.76,63.39,52.1% (95% CI 40.8-63.4%),24.52,11,72.69,3.28,20.62,27.55
Imo,south east,complete_continuum,Complete continuum,230,117,51.04,4.36,42.49,59.58,Report,51.0% (95% CI 42.5-59.6%),51.04,42.49,59.58,51.0% (95% CI 42.5-59.6%),24.52,12,72.69,3.28,21.65,26.52
Enugu,south east,complete_continuum,Complete continuum,123,64,48.97,5.79,37.62,60.32,Report,49.0% (95% CI 37.6-60.3%),48.97,37.62,60.32,49.0% (95% CI 37.6-60.3%),24.52,13,72.69,3.28,23.72,24.45
Nasarawa,north central,complete_continuum,Complete continuum,294,128,44.47,3.61,37.39,51.55,Report,44.5% (95% CI 37.4-51.5%),44.47,37.39,51.55,44.5% (95% CI 37.4-51.5%),24.52,14,72.69,3.28,28.22,19.95
Rivers,south south,complete_continuum,Complete continuum,196,88,44.35,4.59,35.34,53.35,Report,44.4% (95% CI 35.3-53.4%),44.35,35.34,53.35,44.4% (95% CI 35.3-53.4%),24.52,15,72.69,3.28,28.34,19.83
Cross River,south south,complete_continuum,Complete continuum,148,65,44.2,4.82,34.76,53.64,Report,44.2% (95% CI 34.8-53.6%),44.2,34.76,53.64,44.2% (95% CI 34.8-53.6%),24.52,16,72.69,3.28,28.49,19.68
Kogi,north central,complete_continuum,Complete continuum,269,103,37.44,4.6,28.43,46.46,Report,37.4% (95% CI 28.4-46.5%),37.44,28.43,46.46,37.4% (95% CI 28.4-46.5%),24.52,17,72.69,3.28,35.25,12.92
Kwara,north central,complete_continuum,Complete continuum,226,80,36.08,6.67,23.01,49.16,Report,36.1% (95% CI 23.0-49.2%),36.08,23.01,49.16,36.1% (95% CI 23.0-49.2%),24.52,18,72.69,3.28,36.61,11.56
Benue,north central,complete_continuum,Complete continuum,218,67,34.15,4.49,25.35,42.94,Report,34.1% (95% CI 25.4-42.9%),34.15,25.35,42.94,34.1% (95% CI 25.4-42.9%),24.52,19,72.69,3.28,38.54,9.63
Plateau,north central,complete_continuum,Complete continuum,328,100,31.29,4.19,23.07,39.5,Report,31.3% (95% CI 23.1-39.5%),31.29,23.07,39.5,31.3% (95% CI 23.1-39.5%),24.52,20,72.69,3.28,41.4,6.77
Akwa Ibom,south south,complete_continuum,Complete continuum,148,46,29.97,4.23,21.68,38.26,Report,30.0% (95% CI 21.7-38.3%),29.97,21.68,38.26,30.0% (95% CI 21.7-38.3%),24.52,21,72.69,3.28,42.72,5.45
Bayelsa,south south,complete_continuum,Complete continuum,147,37,29.13,5.89,17.59,40.66,Report,29.1% (95% CI 17.6-40.7%),29.13,17.59,40.66,29.1% (95% CI 17.6-40.7%),24.52,22,72.69,3.28,43.56,4.61
Ebonyi,south east,complete_continuum,Complete continuum,332,103,28.99,2.61,23.87,34.1,Report,29.0% (95% CI 23.9-34.1%),28.99,23.87,34.1,29.0% (95% CI 23.9-34.1%),24.52,23,72.69,3.28,43.7,4.47
Borno,north east,complete_continuum,Complete continuum,347,66,19.37,2.49,14.5,24.24,Report,19.4% (95% CI 14.5-24.2%),19.37,14.5,24.24,19.4% (95% CI 14.5-24.2%),24.52,24,72.69,3.28,53.32,-5.15
Gombe,north east,complete_continuum,Complete continuum,391,66,17.73,3.2,11.45,24,Report,17.7% (95% CI 11.4-24.0%),17.73,11.45,24,17.7% (95% CI 11.4-24.0%),24.52,25,72.69,3.28,54.96,-6.79
Kaduna,north west,complete_continuum,Complete continuum,504,89,16.82,2.87,11.19,22.45,Report,16.8% (95% CI 11.2-22.4%),16.82,11.19,22.45,16.8% (95% CI 11.2-22.4%),24.52,26,72.69,3.28,55.87,-7.7
Yobe,north east,complete_continuum,Complete continuum,458,70,15.68,3.52,8.78,22.58,Report,15.7% (95% CI 8.8-22.6%),15.68,8.78,22.58,15.7% (95% CI 8.8-22.6%),24.52,27,72.69,3.28,57.01,-8.84
Niger,north central,complete_continuum,Complete continuum,368,64,15.08,3.3,8.62,21.54,Report,15.1% (95% CI 8.6-21.5%),15.08,8.62,21.54,15.1% (95% CI 8.6-21.5%),24.52,28,72.69,3.28,57.61,-9.44
Kano,north west,complete_continuum,Complete continuum,566,79,13.96,1.95,10.14,17.78,Report,14.0% (95% CI 10.1-17.8%),13.96,10.14,17.78,14.0% (95% CI 10.1-17.8%),24.52,29,72.69,3.28,58.73,-10.56
Taraba,north east,complete_continuum,Complete continuum,268,31,13.77,3.35,7.2,20.33,Report,13.8% (95% CI 7.2-20.3%),13.77,7.2,20.33,13.8% (95% CI 7.2-20.3%),24.52,30,72.69,3.28,58.92,-10.75
Adamawa,north east,complete_continuum,Complete continuum,350,33,11.75,3.1,5.67,17.83,Report,11.8% (95% CI 5.7-17.8%),11.75,5.67,17.83,11.8% (95% CI 5.7-17.8%),24.52,31,72.69,3.28,60.94,-12.77
Bauchi,north east,complete_continuum,Complete continuum,454,43,10.08,2.46,5.26,14.9,Report,10.1% (95% CI 5.3-14.9%),10.08,5.26,14.9,10.1% (95% CI 5.3-14.9%),24.52,32,72.69,3.28,62.61,-14.44
Jigawa,north west,complete_continuum,Complete continuum,523,44,8.84,1.81,5.3,12.38,Report,8.8% (95% CI 5.3-12.4%),8.84,5.3,12.38,8.8% (95% CI 5.3-12.4%),24.52,33,72.69,3.28,63.85,-15.68
Zamfara,north west,complete_continuum,Complete continuum,292,20,6.4,2.03,2.42,10.37,Report,6.4% (95% CI 2.4-10.4%),6.4,2.42,10.37,6.4% (95% CI 2.4-10.4%),24.52,34,72.69,3.28,66.29,-18.12
