equity_variable,equity_dimension,equity_category,indicator_variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,reporting_status,estimate_95ci
zone,Zone,north central,anc_4plus,Four or more ANC contacts,1864,973,50.68,2.11,46.53,54.82,Report,50.7% (95% CI 46.5-54.8%)
zone,Zone,north central,anc_8plus,Eight or more ANC contacts,1864,236,11.46,0.94,9.62,13.29,Report,11.5% (95% CI 9.6-13.3%)
zone,Zone,north central,skilled_birth,Skilled birth attendance,1880,1054,54.2,2.32,49.64,58.75,Report,54.2% (95% CI 49.6-58.8%)
zone,Zone,north central,facility_delivery,Health facility delivery,1868,956,49.53,2.3,45.02,54.05,Report,49.5% (95% CI 45.0-54.0%)
zone,Zone,north central,mother_pnc_2days,Maternal PNC within 2 days,1880,1035,53.41,1.95,49.59,57.22,Report,53.4% (95% CI 49.6-57.2%)
zone,Zone,north central,newborn_pnc_2days,Newborn PNC within 2 days,1880,1039,53.67,1.85,50.06,57.29,Report,53.7% (95% CI 50.1-57.3%)
zone,Zone,north central,paired_pnc_2days,Mother and newborn both received PNC within 2 days,1880,967,49.66,1.83,46.07,53.26,Report,49.7% (95% CI 46.1-53.3%)
zone,Zone,north central,complete_continuum,Complete continuum,1864,642,32.54,1.8,29.02,36.06,Report,32.5% (95% CI 29.0-36.1%)
zone,Zone,north east,anc_4plus,Four or more ANC contacts,2268,1096,50.65,2.12,46.49,54.8,Report,50.6% (95% CI 46.5-54.8%)
zone,Zone,north east,anc_8plus,Eight or more ANC contacts,2268,83,3.98,0.58,2.84,5.12,Report,4.0% (95% CI 2.8-5.1%)
zone,Zone,north east,skilled_birth,Skilled birth attendance,2271,697,31.48,1.86,27.83,35.13,Report,31.5% (95% CI 27.8-35.1%)
zone,Zone,north east,facility_delivery,Health facility delivery,2269,800,36.17,1.88,32.48,39.85,Report,36.2% (95% CI 32.5-39.9%)
zone,Zone,north east,mother_pnc_2days,Maternal PNC within 2 days,2271,813,36.34,1.77,32.87,39.8,Report,36.3% (95% CI 32.9-39.8%)
zone,Zone,north east,newborn_pnc_2days,Newborn PNC within 2 days,2271,818,35.25,1.85,31.62,38.88,Report,35.2% (95% CI 31.6-38.9%)
