variable,indicator,unweighted_n,unweighted_positive_n,weighted_percent,standard_error_percent,confidence_interval_low_percent,confidence_interval_high_percent,estimate_95ci
anc_any,Any antenatal care,10522,7745,73.65,1.05,71.6,75.71,73.7% (95% CI 71.6-75.7%)
skilled_anc,ANC from skilled provider,10522,6698,62.48,1.1,60.32,64.64,62.5% (95% CI 60.3-64.6%)
early_anc,First ANC within first trimester,7730,2036,25.02,0.66,23.74,26.31,25.0% (95% CI 23.7-26.3%)
anc_4plus,Four or more ANC contacts,10236,5525,53.65,0.96,51.77,55.54,53.6% (95% CI 51.8-55.5%)
anc_8plus,Eight or more ANC contacts,10236,1791,16.78,0.55,15.69,17.87,16.8% (95% CI 15.7-17.9%)
complete_anc_content,Complete ANC content,7745,4709,59.64,0.96,57.75,61.53,59.6% (95% CI 57.8-61.5%)
facility_delivery,Health facility delivery,10460,4794,42.93,0.94,41.09,44.77,42.9% (95% CI 41.1-44.8%)
skilled_birth,Skilled birth attendance,10522,5028,45.09,0.98,43.18,47,45.1% (95% CI 43.2-47.0%)
mother_pnc_2days,Maternal PNC within 2 days,10522,4747,42.87,0.85,41.21,44.53,42.9% (95% CI 41.2-44.5%)
newborn_pnc_2days,Newborn PNC within 2 days,10522,4765,42.27,0.85,40.6,43.93,42.3% (95% CI 40.6-43.9%)
paired_pnc_2days,Mother and newborn both received PNC within 2 days,10522,4318,38.14,0.83,36.52,39.76,38.1% (95% CI 36.5-39.8%)
complete_continuum,Complete ANC4-skilled birth-paired PNC continuum,10236,2702,24.52,0.68,23.18,25.85,24.5% (95% CI 23.2-25.9%)
complete_continuum_anc8,Complete ANC8-skilled birth-paired PNC continuum,10236,1187,10.98,0.41,10.17,11.78,11.0% (95% CI 10.2-11.8%)
complete_continuum_facility,Complete ANC4-facility delivery-paired PNC continuum,10174,2689,24.56,0.67,23.24,25.87,24.6% (95% CI 23.2-25.9%)
